Star1,Star2,Avg_Gross
Danny Glover,Whoopi Goldberg,98467863.0
Darío Grandinetti,María Marull,3107072.0
Daveigh Chase,Suzanne Pleshette,10055859.0
David Emge,Ken Foree,5100000.0
David Rawle,Brendan Gleeson,857524.0
David Silverman,Lee Unkrich,289916256.0
David Thewlis,Lesley Sharp,1769305.0
David Zucker,Jerry Zucker,83400000.0
Dean-Charles Chapman,George MacKay,159227644.0
Deborah Kerr,Peter Wyngarde,2616000.0
Denzel Washington,Angela Bassett,48169908.0
Denzel Washington,Christopher Walken,77911774.0
Denzel Washington,Clive Owen,88513495.0
Denzel Washington,Ethan Hawke,76631907.0
Denzel Washington,Russell Crowe,130164645.0
Denzel Washington,Vicellous Shannon,50668906.0
Denzel Washington,Will Patton,115654751.0
Dev Patel,Nicole Kidman,51739495.0
Diane Kruger,Benno Fürmann,1054361.0
Domhnall Gleeson,Rachel McAdams,15322921.0
Don Cheadle,Sandra Bullock,54580300.0
Don Cheadle,Sophie Okonedo,23530892.0
Donald Pleasence,Jamie Lee Curtis,47000000.0
Donald Sutherland,Mary Tyler Moore,54800000.0
Duane Jones,Judith O'Dea,89029.0
Dustin Hoffman,Anne Bancroft,104945305.0
Dustin Hoffman,Jon Voight,44785053.0
Dustin Hoffman,Meryl Streep,106260000.0
Dustin Hoffman,Robert Redford,70600000.0
Dustin Hoffman,Tom Cruise,178800000.0
Eddie Redmayne,Felicity Jones,35893537.0
Edmund Gwenn,Maureen O'Hara,2650000.0
Edward Fox,Terence Alexander,16056255.0
Edward Norton,Barry Pepper,13060843.0
Edward Norton,Edward Furlong,6719864.0
Edward Norton,Jessica Biel,39868642.0
Eileen Walsh,Dorothy Duffy,4890878.0
Eli Marienthal,Harry Connick Jr.,23159305.0
Elijah Wood,Ian McKellen,329048057.5
Elijah Wood,Viggo Mortensen,377845905.0
Elizabeth Taylor,Paul Newman,17570324.0
Ellar Coltrane,Patricia Arquette,25379975.0
Ellen Burstyn,Jared Leto,3635482.0
Ellen Burstyn,Max von Sydow,232906145.0
Elliott Gould,Nina van Pallandt,959000.0
Emile Hirsch,Vince Vaughn,18354356.0
Emilio Echevarría,Gael García Bernal,5383834.0
Emilio Estevez,Judd Nelson,45875171.0
